Home Team,Date,Opponent,Designated Sections,Row Filter,Quantity Filter
Boston College Eagles,2017-09-09,Wake Forest Demon Deacons,,,
Boston College Eagles,2017-09-16,Notre Dame Fighting Irish,,,
Boston College Eagles,2017-09-30,Central Michigan Chippewas,,,
Boston College Eagles,2017-10-07,Virginia Tech Hokies,,,
Boston College Eagles,2017-10-27,Florida State Seminoles,,,
Boston College Eagles,2017-11-11,NC State Wolfpack,,,
Boston College Eagles,2017-12-02,ACC Championship Game,,,
Clemson Tigers,2017-09-02,Kent State Golden Flashes,,,
Clemson Tigers,2017-09-09,Auburn Tigers,,,
Clemson Tigers,2017-09-23,Boston College Eagles,,,
Clemson Tigers,2017-10-07,Wake Forest Demon Deacons,,,
Clemson Tigers,2017-10-28,Georgia Tech Yellow Jackets,,,
Clemson Tigers,2017-11-11,Florida State Seminoles,,,
Clemson Tigers,2017-11-18,The Citadel Bulldogs,,,
Clemson Tigers,2017-12-02,ACC Championship Game,,,
